entity,entity_type,description,status_cat_0,status_val_0,status_cat_1,status_val_1,status_cat_2,status_val_2,status_cat_3,status_val_3,location,entity_group_1,entity_group_5,relationship,parent,status,process_type,last_event,last_update
CPJUNO-02,METROLOGY,CHIP PROBE JUNO TESTER,AVAILABILITY,UP,RESPONSIBILITY,PRODUCTION,SUB-SEMI E10,STANDBY,DETAILED STATE,STANDBY,ENDURA-4,METROLOGY,METROLOGY,P,Y,P,METROLOGY,CP-TEST-EN,01/03/2024
DIMPLE-1,DIMPLE,,,UP,,PRODUCTION,,STANDBY,,STANDBY,,,,,,,,STANDBY,02/08/2022
DIMPLE-2,DIMPLE,RAD 3520 LAMINATOR,AVAILABILITY,UP,RESPONSIBILITY,PRODUCTION,SUB-SEMI E10,STANDBY,DETAILED STATE,STANDBY,ENDURA-4,BGBM,BGBM,P,Y,P,,BTS,31/08/2022
DISCO-1,GRINDER,DISCO DFG 8540 GRINDER,AVAILABILITY,DOWN,RESPONSIBILITY,ENGINEERING,SUB-SEMI E10,RESPOND REPR,DETAILED STATE,VIOLATION,ENDURA-4,DISCO,DISCO,P,Y,P,DISCO,BG-RESULTS,17/03/2024
ENDEAVOR-1,ENDEAVOR-1,150MM OEM TEGAL ENDEAVOR,AVAILABILITY,DOWN,RESPONSIBILITY,ENGINEERING,SUB-SEMI E10,RESPOND REPR,DETAILED STATE,VIOLATION,ENDURA-4,ENDEAVOR,ENDEAVOR,P,Y,P,SPUTTER_150MM,BM-QUAL1-EN,17/03/2024
ENDEAVOR-1-CM1,ENDEAVOR-1,150MM OEM TEGAL ENDEAVOR LOAD LOCK A,AVAILABILITY,DOWN,RESPONSIBILITY,MAINTENANCE,SUB-SEMI E10,STANDBY,DETAILED STATE,UNLOAD,ENDURA-4,ENDEAVOR,ENDEAVOR,P,Y,P,SPUTTER_150MM,WT-UNLOAD,16/03/2024
ENDEAVOR-1-CM2,ENDEAVOR-1,150MM OEM TEGAL ENDEAVOR LOAD LOCK B,AVAILABILITY,UP,RESPONSIBILITY,PRODUCTION,SUB-SEMI E10,NO WIP,DETAILED STATE,NO WORK,ENDURA-4,ENDEAVOR,ENDEAVOR,P,Y,P,SPUTTER_150MM,NO-WORK,16/03/2024
ENDEAVOR-1-PM1,ENDEAVOR-1,150MM OEM TEGAL ENDEAVOR RF ETCH PM1,AVAILABILITY,DOWN,RESPONSIBILITY,PRODUCTION,SUB-SEMI E10,WT QL REPR,DETAILED STATE,WAIT QUAL,ENDURA-4,ENDEAVOR,ENDEAVOR,P,Y,P,SPUTTER_150MM,MAINT-FINISH,10/08/2022
ENDEAVOR-1-PM2,ENDEAVOR-1,150MM OEM TEGAL ENDEAVOR LOAD LOCK A,AVAILABILITY,,RESPONSIBILITY,,SUB-SEMI E10,,DETAILED STATE,,ENDURA-4,ENDEAVOR,ENDEAVOR,P,Y,P,SPUTTER_150MM,,
ENDEAVOR-1-PM3,ENDEAVOR-1,150MM OEM TEGAL ENDEAVOR LOAD LOCK A,AVAILABILITY,,RESPONSIBILITY,,SUB-SEMI E10,,DETAILED STATE,,ENDURA-4,ENDEAVOR,ENDEAVOR,P,Y,P,SPUTTER_150MM,,
ENDEAVOR-1-PM4,ENDEAVOR-1,150MM OEM TEGAL ENDEAVOR LOAD LOCK A,AVAILABILITY,,RESPONSIBILITY,,SUB-SEMI E10,,DETAILED STATE,,ENDURA-4,ENDEAVOR,ENDEAVOR,P,Y,P,SPUTTER_150MM,,
ENDEAVOR-1-TM,ENDEAVOR-1,150MM OEM TEGAL ENDEAVOR LOAD LOCK A,AVAILABILITY,,RESPONSIBILITY,,SUB-SEMI E10,,DETAILED STATE,,ENDURA-4,ENDEAVOR,ENDEAVOR,P,Y,P,SPUTTER_150MM,,
ENDEAVOR-2,ENDEAVOR-2,200MM OEM TEGAL ENDEAVOR,AVAILABILITY,UP,RESPONSIBILITY,PRODUCTION,SUB-SEMI E10,STANDBY,DETAILED STATE,STANDBY,ENDURA-4,ENDEAVOR,ENDEAVOR,P,Y,P,SPUTTER_200MM,LATE-MONITOR,16/03/2024
ENDEAVOR-2-CM1,ENDEAVOR-2,200MM OEM TEGAL ENDEAVOR LOAD LOCK A,AVAILABILITY,DOWN,RESPONSIBILITY,MAINTENANCE,SUB-SEMI E10,RESPOND REPR,DETAILED STATE,WAIT MAINT,ENDURA-4,ENDEAVOR,ENDEAVOR,P,Y,P,SPUTTER_200MM,FAILURE,04/03/2024
ENDEAVOR-2-CM2,ENDEAVOR-2,200MM OEM TEGAL ENDEAVOR LOAD LOCK B,AVAILABILITY,UP,RESPONSIBILITY,PRODUCTION,SUB-SEMI E10,NO OPERATOR,DETAILED STATE,NO OPERATOR,ENDURA-4,ENDEAVOR,ENDEAVOR,P,Y,P,SPUTTER_200MM,NO-OPERATOR,13/03/2024
ENDEAVOR-2-CM3,ENDEAVOR-2,200MM OEM TEGAL ENDEAVOR LOAD LOCK A,AVAILABILITY,,RESPONSIBILITY,,SUB-SEMI E10,,DETAILED STATE,,ENDURA-4,ENDEAVOR,ENDEAVOR,P,Y,P,SPUTTER_200MM,,
ENDEAVOR-2-CM4,ENDEAVOR-2,200MM OEM TEGAL ENDEAVOR LOAD LOCK A,AVAILABILITY,,RESPONSIBILITY,,SUB-SEMI E10,,DETAILED STATE,,ENDURA-4,ENDEAVOR,ENDEAVOR,P,Y,P,SPUTTER_200MM,,
ENDEAVOR-2-PM1,ENDEAVOR-2,200MM OEM TEGAL ENDEAVOR LOAD LOCK A,AVAILABILITY,,RESPONSIBILITY,,SUB-SEMI E10,,DETAILED STATE,,ENDURA-4,ENDEAVOR,ENDEAVOR,P,Y,P,SPUTTER_200MM,,
ENDEAVOR-2-PM2,ENDEAVOR-2,200MM OEM TEGAL ENDEAVOR LOAD LOCK A,AVAILABILITY,,RESPONSIBILITY,,SUB-SEMI E10,,DETAILED STATE,,ENDURA-4,ENDEAVOR,ENDEAVOR,P,Y,P,SPUTTER_200MM,,
ENDEAVOR-2-PM3,ENDEAVOR-2,200MM OEM TEGAL ENDEAVOR LOAD LOCK A,AVAILABILITY,,RESPONSIBILITY,,SUB-SEMI E10,,DETAILED STATE,,ENDURA-4,ENDEAVOR,ENDEAVOR,P,Y,P,SPUTTER_200MM,,
ENDEAVOR-2-PM4,ENDEAVOR-2,150MM OEM TEGAL ENDEAVOR LOAD LOCK A,AVAILABILITY,,RESPONSIBILITY,,SUB-SEMI E10,,DETAILED STATE,,ENDURA-4,ENDEAVOR,ENDEAVOR,P,Y,P,SPUTTER_200MM,,
ENDEAVOR-2-TM,ENDEAVOR-2,200MM OEM TEGAL ENDEAVOR LOAD LOCK A,AVAILABILITY,,RESPONSIBILITY,,SUB-SEMI E10,,DETAILED STATE,,ENDURA-4,ENDEAVOR,ENDEAVOR,P,Y,P,SPUTTER_200MM,,
