entity,txid,txid,nwxt_txid,entity,status_val_0,status_val_1,status_val_2,status_val_3,status_val_4,status_val_5,status_val_6,status_val_7,status_val_8,status_val_9,deleted,annotated,datetime
TAPEON-1,132823,132823,132827,TAPEON-1,UP,PRODUCTION,PROD TEST,PROD TEST,NO ONE,,,,NONE,NONE, ,,26/02/2024
WD43-T1,132824,132824,132836,WD43-T1,DOWN,PRODUCTION,CHG CONS-S,CHANGE ACID,NO ONE,,0,,NONE,NONE, ,,26/02/2024
WD43-T3,132825,132825,132841,WD43-T3,DOWN,PRODUCTION,CHG CONS-S,CHANGE ACID,NO ONE,,0,,NONE,NONE, ,,26/02/2024
MTI-1,132826,132826,134756,MTI-1,UP,PRODUCTION,STANDBY,STANDBY,NO ONE,,MTI-1-MONITOR,,NONE,NONE, ,,26/02/2024
TAPEON-1,132827,132827,132828,TAPEON-1,UP,PRODUCTION,STANDBY,UNLOAD,NO ONE,,,,NONE,NONE, ,,26/02/2024
TAPEON-1,132828,132828,132851,TAPEON-1,UP,PRODUCTION,STANDBY,STANDBY,NO ONE,,,,NONE,NONE, ,,26/02/2024
ENDEAVOR-1,132835,132835,132837,ENDEAVOR-1,UP,PRODUCTION,STANDBY,STANDBY,NO-ONE,,,,NONE,NONE, ,,26/02/2024
WD43-T1,132836,132836,132840,WD43-T1,DOWN,PRODUCTION,CHG CONS-S,CHANGE ACID,NO ONE,,0,,NONE,NONE, ,,26/02/2024
ENDEAVOR-1,132837,132837,132838,ENDEAVOR-1,UP,PRODUCTION,STANDBY,UNLOAD,NO-ONE,,,,NONE,NONE, ,,26/02/2024
ENDEAVOR-1,132838,132838,132839,ENDEAVOR-1,UP,PRODUCTION,STANDBY,UNLOAD,NO-ONE,,,,NONE,NONE, ,,26/02/2024
ENDEAVOR-1,132839,132839,132905,ENDEAVOR-1,UP,PRODUCTION,STANDBY,STANDBY,NO-ONE,,,,NONE,NONE, ,,26/02/2024
WD43-T1,132840,132840,132842,WD43-T1,UP,PRODUCTION,STANDBY,STANDBY,NO ONE,,0,,NONE,NONE, ,,26/02/2024
WD43-T3,132841,132841,132861,WD43-T3,UP,PRODUCTION,STANDBY,STANDBY,NO ONE,,0,,NONE,NONE, ,,26/02/2024
WD43-T1,132842,132842,132844,WD43-T1,UP,PRODUCTION,STANDBY,STANDBY,NO ONE,,0,,NONE,NONE, ,,26/02/2024
WD43-T1,132844,132844,132860,WD43-T1,UP,PRODUCTION,RUN PROD,RUNNING PROD,NO ONE,,12,,NONE,NONE, ,,26/02/2024
TAPEON-1,132851,132851,132874,TAPEON-1,UP,PRODUCTION,RUN PROD,RUNNING PROD,NO ONE,,,,NONE,NONE, ,,26/02/2024
WD43-T1,132860,132860,132866,WD43-T1,UP,PRODUCTION,STANDBY,STANDBY,NO ONE,,12,,NONE,NONE, ,,26/02/2024
WD43-T3,132861,132861,132863,WD43-T3,UP,PRODUCTION,STANDBY,STANDBY,NO ONE,,0,,NONE,NONE, ,,26/02/2024
WD43-T3,132863,132863,132909,WD43-T3,UP,PRODUCTION,STANDBY,STANDBY,NO ONE,,0,,NONE,NONE, ,,26/02/2024
WD43-T1,132866,132866,132908,WD43-T1,UP,PRODUCTION,RUN PROD,RUNNING PROD,NO ONE,,25,,NONE,NONE, ,,26/02/2024
WD43,132870,132870,132935,WD43,UP,PRODUCTION,NO WIP,NO WORK,NO ONE,,39,,NONE,NONE, ,,26/02/2024
TAPEON-1,132874,132874,132880,TAPEON-1,UP,PRODUCTION,STANDBY,UNLOAD,NO ONE,,,,NONE,NONE, ,,26/02/2024
TAPEOFF-1,132877,132877,132903,TAPEOFF-1,UP,PRODUCTION,RUN PROD,RUNNING PROD,NO ONE,,,,NONE,NONE, ,,26/02/2024
TAPEON-1,132880,132880,132898,TAPEON-1,UP,PRODUCTION,STANDBY,STANDBY,NO ONE,,,,NONE,NONE, ,,26/02/2024
DISCO-1,132889,132889,132932,DISCO-1,UP,PRODUCTION,RUN PROD,RUNNING PROD,NO ONE,,DISCO1-313-TH,,NONE,NONE, ,,26/02/2024
TAPEON-1,132898,132898,132906,TAPEON-1,UP,PRODUCTION,RUN PROD,RUNNING PROD,NO ONE,,,,NONE,NONE, ,,26/02/2024
TAPEOFF-1,132903,132903,132918,TAPEOFF-1,UP,PRODUCTION,STANDBY,UNLOAD,NO ONE,,,,NONE,NONE, ,,26/02/2024
ENDEAVOR-1,132905,132905,133004,ENDEAVOR-1,UP,PRODUCTION,STANDBY,STANDBY,NO-ONE,,,,NONE,LATE-WEEKLY, ,,26/02/2024
TAPEON-1,132906,132906,132923,TAPEON-1,UP,PRODUCTION,STANDBY,UNLOAD,NO ONE,,,,NONE,NONE, ,,26/02/2024
WD43-T1,132908,132908,132915,WD43-T1,UP,PRODUCTION,STANDBY,STANDBY,NO ONE,,25,,NONE,NONE, ,,26/02/2024
WD43-T3,132909,132909,132911,WD43-T3,UP,PRODUCTION,STANDBY,STANDBY,NO ONE,,0,,NONE,NONE, ,,26/02/2024
WD43-T3,132911,132911,132945,WD43-T3,UP,PRODUCTION,STANDBY,STANDBY,NO ONE,,0,,NONE,NONE, ,,26/02/2024
WD43-T1,132915,132915,132944,WD43-T1,UP,PRODUCTION,RUN PROD,RUNNING PROD,NO ONE,,37,,NONE,NONE, ,,26/02/2024
TAPEOFF-1,132918,132918,132941,TAPEOFF-1,UP,PRODUCTION,STANDBY,STANDBY,NO ONE,,,,NONE,NONE, ,,26/02/2024
